Q7UZJ9	Q7UZJ9
Q7UZJ9	Q317X8
Q7UZJ9	A2BZ50
Q9L9F2	Q9L9F2
Q96E11	Q96E11
P57324	P57324
C6C0A2	C6C0A2
B8FFL4	B8FFL4
Q9UYV8	Q9UYV8
A6VPG7	A6VPG7
Q9YGT6	Q9YGT6
P0A1A9	P0A1A9
P0A1A9	P09030
Q9FMC8	Q9FMC8
Q38ZL9	Q38ZL9
P32787	P32787
P92514	P92514
P92514	P15953
Q39263	Q39263
P51405	P51405
Q9BUB7	Q9BUB7
P58315	P58315
P9WGI3	P9WGI3
P00553	P00553
F4JIK2	F4JIK2
F4JIK2	Q9SUB4
Q504M8	Q504M8
Q504M8	Q9ULW5
Q504M8	P51156
Q504M8	Q29RR0
Q504M8	Q9JKM7
Q504M8	Q96AX2
P0DSE1	P0DSE1
Q8WXX5	Q8WXX5
Q8WXX5	Q91WN1
Q8VIL3	Q8VIL3
Q8VIL3	Q9CQU5
P46770	P46770
A0A0M4FTF3	A0A0M4FTF3
Q03GM6	Q03GM6
Q700E3	Q700E3
C0HMD9	C0HMD9
Q0KFE7	Q0KFE7
Q0KFE7	Q8Y2L2
Q9C9E3	Q9C9E3
B6F0W8	B6F0W8
Q9SYX1	Q9SYX1
Q9SYX1	Q6NKS4
Q6ZUJ4	Q6ZUJ4
Q8NEB5	Q8NEB5
Q8NEB5	Q3UMZ3
Q11CK7	Q11CK7
Q11CK7	A8HYT7
Q11CK7	A7IHN9
Q11CK7	A6UEK3
Q11CK7	Q92TB3
Q11CK7	B0UHR5
Q11CK7	Q8YE37
Q11CK7	B0CJI6
Q11CK7	A6WX52
Q11CK7	B3Q951
Q11CK7	A3PI62
Q11CK7	A8LHX5
Q11CK7	B9KPC8
Q11CK7	B0T798
Q11CK7	B8GW15
Q11CK7	P26721
Q11CK7	Q2RNA7
Q11CK7	B8EM84
Q11CK7	O30724
Q11CK7	Q2VYJ0
Q11CK7	Q89WM4
Q11CK7	B6JCG5
P07630	P07630
P40261	P40261
P40261	O55239
P40261	Q06AV1
A1AW70	A1AW70
G5EGC9	G5EGC9
A4SJ61	A4SJ61
Q8IJD4	Q8IJD4
I6WZG6	I6WZG6
C9K1M8	C9K1M8
C9K1M8	C9K1M9
B5YKP5	B5YKP5
Q14002	Q14002
E3PRJ4	E3PRJ4
C4L3U2	C4L3U2
H0VVW3	H0VVW3
G5EF15	G5EF15
Q6MQH6	Q6MQH6
Q5VNN5	Q5VNN5
U3H042	U3H042
Q9W3R7	Q9W3R7
Q5WT02	Q5WT02
P07772	P07772
Q9YJQ8	Q9YJQ8
Q9C5Q2	Q9C5Q2
Q05016	Q05016
Q55900	Q55900
Q99N03	Q99N03
P07821	P07821
Q9FH40	Q9FH40
P21698	P21698
Q9ERB0	Q9ERB0
Q9ERB0	Q9Z2P6
Q9ERB0	Q5R5K4
Q9ERB0	Q0II86
Q9ERB0	O95721
E0SLH6	E0SLH6
E0SLH6	C6DI71
E0SLH6	C6C4V4
Q9Z205	Q9Z205
Q9Z205	O14593
A0QJ19	A0QJ19
A0QJ19	Q8FP74
A0QJ19	Q4JV20
A0QJ19	A4QF30
A0QJ19	A1T784
A0QJ19	P9WHK5
A0QJ19	O69913
B1KKN8	B1KKN8
B1KKN8	Q084R8
Q9KV27	Q9KV27
Q9KV27	Q8DD17
Q9KV27	Q87KQ7
Q9KV27	B7VM66
P56891	P56891
P56891	Q8UH67
A8L766	A8L766
A8L766	Q2JEN8
A8L766	Q6A759
A8L766	Q6AEK9
P31168	P31168
Q682V0	Q682V0
Q05592	Q05592
Q9BRQ4	Q9BRQ4
A7TJ85	A7TJ85
P28495	P28495
B4QVX4	B4QVX4
B4QVX4	Q9VH58
Q5L9P9	Q5L9P9
C0Z4Q5	C0Z4Q5
C0Z4Q5	Q5L051
Q6AKW8	Q6AKW8
Q9Y272	Q9Y272
Q9Y272	Q9JKF8
Q9Y272	O35626
B9KBS2	B9KBS2
P28822	P28822
Q06058	Q06058
Q8GWL1	Q8GWL1
Q55CC2	Q55CC2
Q9FWX6	Q9FWX6
Q75CF5	Q75CF5
Q8GW64	Q8GW64
D2S6E2	D2S6E2
Q90314	Q90314
Q90314	Q09108
Q9H3N1	Q9H3N1
Q9H3N1	Q0Z7W6
Q9H3N1	Q8VBT0
Q04599	Q04599
O34610	O34610
P9WJC3	P9WJC3
Q9MZE0	Q9MZE0
Q9MZE0	Q07021
Q9MZE0	O35796
Q9MZE0	O35658
Q9MZE0	Q3T0B6
Q3KPK4	Q3KPK4
Q3KPK4	Q6GLC7
O23403	O23403
Q8I415	Q8I415
Q62447	Q62447
Q62447	P39947
Q62447	P24863
Q62447	Q3ZCK5
Q62447	P25008
P17410	P17410
Q4J8E7	Q4J8E7
Q4J8E7	Q970U6
Q04720	Q04720
O13848	O13848
B3WEY4	B3WEY4
B3WEY4	Q038F9
P49675	P49675
P49675	P70114
P49675	P51557
P49675	P97826
P49675	Q28918
P46118	P46118
C9WJD0	C9WJD0
A3M294	A3M294
A3M294	Q6F855
Q96MP8	Q96MP8
Q96MP8	Q8BJK1
Q96MP8	B1WC97
Q7V4M4	Q7V4M4
Q7V4M4	A5GI92
Q92637	Q92637
Q9XUV0	Q9XUV0
Q9Z034	Q9Z034
Q9Z034	Q9WIK0
Q7UQZ8	Q7UQZ8
Q9SPK4	Q9SPK4
Q7V7W0	Q7V7W0
Q7V7W0	A5GLH7
Q19291	Q19291
Q391N3	Q391N3
Q391N3	Q0B4Z6
P43688	P43688
Q58DP0	Q58DP0
Q58DP0	O43709
Q58DP0	Q9CY21
P09064	P09064
P46541	P46541
Q9HJ93	Q9HJ93
Q7AKQ5	Q7AKQ5
Q7AKQ5	Q828I8
Q6AUF3	Q6AUF3
Q6AUF3	O64700
Q6AUF3	E0ZS47
Q5TD97	Q5TD97
